[Main]
Experiment = "VvsI"
Header length = 74    
Date = "20181215 07:11:09"
Comments = "SD: 3I+ to 1I-; voltage1: 2I- to 2I+; voltage2h: 2I- to 3I-"

[System]
System = "PPMS"
Magnet stability range (G) = 5.000000E+1
Magnet check interval (s) = 1.000000E+0
Magnet approach mode = "Linear Approach"
Magnet mode = "Persistent"
Temperature stability time (s) = 1.000000E+0
Temperature approach mode = "Fast Settle"

[Static Temperature]
Set initial temperature = TRUE
Initial temperature (K) = 1.000000E+2
Delay after setting initial temperature (s) = 1.000000E+1
Initial temperature stabilization (K) = 2.000000E-1
Initial temperature ramp rate (K/min) = 1.000000E+1
Wait for initial temperature to stabilize = TRUE
Set final temperature = FALSE

[Dynamic magnetic field]
Initial field (T) = 9.000000E+0
Final field (T) = -9.000000E+0
Measurement interval (T) = 1.000000E-1
Ramp rate (G/s) = 1.000000E+2
Delay after field step (s) = 1.000000E+0
Measurement Pattern = "Linear"
Go to other field at finish = TRUE
Finish field (T) = 0.000000
Finish ramp rate (G/s) = 100.000000
Delay before setting finish field (s) = 0.000000
Stabilize finish field = TRUE

[Static Voltage 0]
Voltage meter = "Keithley 2182A"
Auto-range = TRUE
GPIB = "7"
Range (V) = 1.000000E-3
Speed = 1.000000

[Static Voltage 1]
Voltage meter = "Keithley 2182A"
Auto-range = TRUE
GPIB = "8"
Range (V) = 1.000000E-3
Speed = 1.000000

[Static Voltage 2]
Voltage meter = "Keithley 6430"
Auto-range = TRUE
GPIB = "21"
Range (V) = 5.000000E+0
Speed = 1.000000

[Dynamic Current]
Operating mode = "Linear"
Current source = "Keithley 6430"
GPIB = "21"
Initial current (A) = 1.000000E-6
Final current (A) = 1.000000E-6
Current step (A) = 1.000000E-12
Number of measurement sequences = 1.000000E+0
Samples/sequence = 3.000000E+1
Pre-measuement delay (s) = 1.000000E+0
Output limit (V) = 5.000000
Auto-range = TRUE
Manual range (A) = 0.000001
Check output compliance = TRUE
Inital delay (s) = 0.000000
Time (s)	Magnetic Field (T)	Current (A)	Voltage 1 (V)	Voltage 2 (V)	Voltage 3 (V)	STD_Voltage 1 (V)	STD_Voltage 2 (V)	STD_Voltage 3 (V)	Resistance 1 (Ohms)	Resistance 2 (Ohms)	Resistance 3 (Ohms)	STD_Resistance 1 (Ohms)	STD_Resistance 2 (Ohms)	STD_Resistance 3 (Ohms)	Temperature (K)
919.979948044E+0	9.000021875E+0	1.000000000E-6	1.067838866E-3	-94.738078597E-6	9.295507650E-3	80.009557436E-6	16.929675658E-6	7.609624041E-6	1.067838866E+3	-94.738078591E+0	9.295507649E+3	80.009557431E+0	16.929675657E+0	7.609624040E+0	100.000800000E+0
978.275833607E+0	8.900013281E+0	1.000000000E-6	1.068134660E-3	-93.628763822E-6	9.285014450E-3	80.727771230E-6	15.426889123E-6	8.528014109E-6	1.068134659E+3	-93.628763816E+0	9.285014449E+3	80.727771225E+0	15.426889122E+0	8.528014109E+0	99.998000000E+0
1.036551203E+3	8.800025781E+0	1.000000000E-6	1.060056045E-3	-93.553233388E-6	9.284551217E-3	76.663691722E-6	17.029116327E-6	9.281205317E-6	1.060056045E+3	-93.553233383E+0	9.284551216E+3	76.663691717E+0	17.029116326E+0	9.281205317E+0	99.999300000E+0
1.094804675E+3	8.700020312E+0	1.000000000E-6	1.057697154E-3	-95.482150788E-6	9.287316050E-3	78.925632192E-6	14.823274051E-6	10.814684447E-6	1.057697154E+3	-95.482150782E+0	9.287316049E+3	78.925632187E+0	14.823274050E+0	10.814684446E+0	100.000400000E+0
1.153071058E+3	8.600023438E+0	1.000000000E-6	1.074261451E-3	-94.896002417E-6	9.283545450E-3	83.036345390E-6	16.048888442E-6	8.185767228E-6	1.074261451E+3	-94.896002411E+0	9.283545449E+3	83.036345385E+0	16.048888441E+0	8.185767227E+0	99.998100000E+0
1.211305867E+3	8.500025000E+0	1.000000000E-6	1.051417523E-3	-97.066059573E-6	9.283293517E-3	89.113193498E-6	14.341017022E-6	8.315533655E-6	1.051417523E+3	-97.066059567E+0	9.283293516E+3	89.113193493E+0	14.341017021E+0	8.315533655E+0	100.000000000E+0
1.271701172E+3	8.400023437E+0	1.000000000E-6	1.056374467E-3	-95.157743027E-6	9.270552967E-3	79.118422350E-6	16.069628445E-6	7.888557758E-6	1.056374467E+3	-95.157743021E+0	9.270552966E+3	79.118422345E+0	16.069628444E+0	7.888557758E+0	100.000600000E+0
1.331981635E+3	8.300017969E+0	1.000000000E-6	1.059542672E-3	-96.249556788E-6	9.276130717E-3	67.485239671E-6	14.899879391E-6	8.202469681E-6	1.059542672E+3	-96.249556782E+0	9.276130716E+3	67.485239667E+0	14.899879390E+0	8.202469681E+0	100.000100000E+0
1.387814381E+3	8.200020312E+0	1.000000000E-6	1.052775685E-3	-96.616817663E-6	9.262378883E-3	66.352772950E-6	16.018260310E-6	9.113704935E-6	1.052775685E+3	-96.616817657E+0	9.262378883E+3	66.352772945E+0	16.018260309E+0	9.113704934E+0	99.999100000E+0
1.448101586E+3	8.100024219E+0	1.000000000E-6	1.058246085E-3	-94.872247638E-6	9.263054700E-3	63.715434882E-6	17.284707758E-6	9.686309676E-6	1.058246085E+3	-94.872247632E+0	9.263054699E+3	63.715434878E+0	17.284707757E+0	9.686309675E+0	100.001300000E+0
1.504408563E+3	8.000010156E+0	1.000000000E-6	1.061713426E-3	-94.269903453E-6	9.260003100E-3	83.520584199E-6	15.487714087E-6	8.493011620E-6	1.061713426E+3	-94.269903447E+0	9.260003099E+3	83.520584194E+0	15.487714086E+0	8.493011620E+0	99.996900000E+0
1.564420706E+3	7.900023437E+0	1.000000000E-6	1.081144093E-3	-94.433176250E-6	9.256142500E-3	67.554284070E-6	16.428371233E-6	6.724570651E-6	1.081144093E+3	-94.433176244E+0	9.256142499E+3	67.554284066E+0	16.428371232E+0	6.724570650E+0	99.999900000E+0
1.624667358E+3	7.800010156E+0	1.000000000E-6	1.060104014E-3	-95.033857543E-6	9.250166283E-3	112.358836483E-6	14.921763795E-6	10.688895353E-6	1.060104014E+3	-95.033857537E+0	9.250166283E+3	112.358836476E+0	14.921763794E+0	10.688895352E+0	100.000100000E+0
1.682791575E+3	7.700019531E+0	1.000000000E-6	1.051635254E-3	-94.747829673E-6	9.250763617E-3	103.447233584E-6	14.791855699E-6	10.914479756E-6	1.051635254E+3	-94.747829667E+0	9.250763616E+3	103.447233578E+0	14.791855698E+0	10.914479755E+0	99.999300000E+0
1.745034327E+3	7.600014844E+0	1.000000000E-6	1.033687166E-3	-94.922710872E-6	9.250543917E-3	188.622262665E-6	16.267916057E-6	9.383279711E-6	1.033687166E+3	-94.922710866E+0	9.250543916E+3	188.622262653E+0	16.267916056E+0	9.383279710E+0	99.999800000E+0
1.804923370E+3	7.500011719E+0	1.000000000E-6	1.046776150E-3	-95.497085237E-6	9.247071850E-3	111.151070997E-6	16.807957322E-6	7.929079530E-6	1.046776150E+3	-95.497085231E+0	9.247071849E+3	111.151070990E+0	16.807957321E+0	7.929079530E+0	100.000800000E+0
1.865202601E+3	7.400017187E+0	1.000000000E-6	1.048801830E-3	-94.429353443E-6	9.244375417E-3	149.316645321E-6	15.313711221E-6	8.824042947E-6	1.048801830E+3	-94.429353437E+0	9.244375416E+3	149.316645312E+0	15.313711220E+0	8.824042946E+0	100.001600000E+0
1.921405255E+3	7.300019531E+0	1.000000000E-6	1.048176509E-3	-94.219546433E-6	9.246789333E-3	112.751601483E-6	15.832651755E-6	9.841559702E-6	1.048176509E+3	-94.219546427E+0	9.246789333E+3	112.751601476E+0	15.832651754E+0	9.841559701E+0	99.997200000E+0
1.975617001E+3	7.200022656E+0	1.000000000E-6	1.123398935E-3	-93.214719063E-6	9.235221567E-3	160.412528598E-6	16.724304558E-6	9.557244448E-6	1.123398935E+3	-93.214719058E+0	9.235221566E+3	160.412528588E+0	16.724304557E+0	9.557244447E+0	99.998000000E+0
2.033836646E+3	7.100021875E+0	1.000000000E-6	1.016395180E-3	-95.508299535E-6	9.240837633E-3	116.542201756E-6	15.829725926E-6	9.511089744E-6	1.016395180E+3	-95.508299529E+0	9.240837633E+3	116.542201749E+0	15.829725925E+0	9.511089743E+0	100.000000000E+0
2.094044674E+3	7.000010937E+0	1.000000000E-6	1.045057420E-3	-96.439984392E-6	9.226387450E-3	103.213078023E-6	16.197899675E-6	10.381141917E-6	1.045057420E+3	-96.439984386E+0	9.226387449E+3	103.213078016E+0	16.197899674E+0	10.381141916E+0	100.000300000E+0
2.154195756E+3	6.900003906E+0	1.000000000E-6	1.065165373E-3	-96.332693412E-6	9.238103483E-3	135.141973401E-6	15.314851522E-6	8.521941911E-6	1.065165373E+3	-96.332693406E+0	9.238103483E+3	135.141973392E+0	15.314851521E+0	8.521941911E+0	99.998900000E+0
2.210349192E+3	6.800009375E+0	1.000000000E-6	1.018645073E-3	-96.894524448E-6	9.235700800E-3	136.953492174E-6	15.880062734E-6	9.164474315E-6	1.018645073E+3	-96.894524442E+0	9.235700799E+3	136.953492166E+0	15.880062733E+0	9.164474314E+0	100.000900000E+0
2.268556101E+3	6.700015625E+0	1.000000000E-6	1.065851848E-3	-94.785734023E-6	9.235800850E-3	122.096063036E-6	14.606166868E-6	8.963374256E-6	1.065851848E+3	-94.785734017E+0	9.235800849E+3	122.096063029E+0	14.606166867E+0	8.963374255E+0	99.999700000E+0
2.328814840E+3	6.600024219E+0	1.000000000E-6	1.072310858E-3	-97.720888312E-6	9.231632750E-3	181.184261772E-6	15.656428561E-6	9.161460310E-6	1.072310858E+3	-97.720888306E+0	9.231632749E+3	181.184261760E+0	15.656428560E+0	9.161460310E+0	99.998900000E+0
2.388949330E+3	6.500024219E+0	1.000000000E-6	1.056649908E-3	-96.790233342E-6	9.224334950E-3	182.429943667E-6	17.330465023E-6	6.747166815E-6	1.056649908E+3	-96.790233336E+0	9.224334949E+3	182.429943656E+0	17.330465022E+0	6.747166814E+0	99.999300000E+0
2.445088866E+3	6.400023828E+0	1.000000000E-6	930.763426950E-6	-97.133404122E-6	9.228581533E-3	232.092973941E-6	14.926913177E-6	10.347750843E-6	930.763426892E+0	-97.133404116E+0	9.228581533E+3	232.092973926E+0	14.926913176E+0	10.347750842E+0	100.000300000E+0
2.503382493E+3	6.300025000E+0	1.000000000E-6	1.017972655E-3	-96.979952508E-6	9.226232467E-3	140.358475689E-6	16.303001842E-6	8.690299536E-6	1.017972655E+3	-96.979952502E+0	9.226232466E+3	140.358475680E+0	16.303001841E+0	8.690299535E+0	99.998000000E+0
2.557554409E+3	6.200015625E+0	1.000000000E-6	1.066438766E-3	-98.058617198E-6	9.225773817E-3	173.924178101E-6	16.197241401E-6	9.754238249E-6	1.066438766E+3	-98.058617192E+0	9.225773816E+3	173.924178090E+0	16.197241400E+0	9.754238249E+0	99.997000000E+0
2.615765913E+3	6.100016406E+0	1.000000000E-6	1.074583180E-3	-98.849420785E-6	9.230333067E-3	177.254143119E-6	14.938263523E-6	7.286244458E-6	1.074583180E+3	-98.849420779E+0	9.230333066E+3	177.254143108E+0	14.938263522E+0	7.286244457E+0	100.001000000E+0
2.678015467E+3	6.000015234E+0	1.000000000E-6	1.105309002E-3	-97.146215755E-6	9.225724250E-3	165.126222246E-6	15.631719083E-6	6.774362433E-6	1.105309002E+3	-97.146215749E+0	9.225724249E+3	165.126222236E+0	15.631719082E+0	6.774362433E+0	99.999600000E+0
2.738237009E+3	5.900023437E+0	1.000000000E-6	1.048733392E-3	-97.188909315E-6	9.224897817E-3	177.287865819E-6	15.373385277E-6	9.532780731E-6	1.048733392E+3	-97.188909309E+0	9.224897816E+3	177.287865808E+0	15.373385276E+0	9.532780731E+0	99.997900000E+0
2.794464156E+3	5.800016406E+0	1.000000000E-6	1.015930262E-3	-96.980441687E-6	9.215635500E-3	181.308647321E-6	15.397471848E-6	6.388431655E-6	1.015930262E+3	-96.980441681E+0	9.215635499E+3	181.308647310E+0	15.397471847E+0	6.388431655E+0	100.001100000E+0
2.854758206E+3	5.700019922E+0	1.000000000E-6	941.815992050E-6	-97.382946092E-6	9.226561017E-3	204.393529760E-6	15.128788029E-6	8.459208307E-6	941.815991991E+0	-97.382946086E+0	9.226561016E+3	204.393529748E+0	15.128788028E+0	8.459208306E+0	99.998200000E+0
2.912947789E+3	5.600023828E+0	1.000000000E-6	1.068920816E-3	-98.279519450E-6	9.219652617E-3	214.230370952E-6	15.514109503E-6	6.140044698E-6	1.068920816E+3	-98.279519444E+0	9.219652616E+3	214.230370938E+0	15.514109502E+0	6.140044698E+0	99.999500000E+0
2.967097075E+3	5.500023047E+0	1.000000000E-6	1.195670491E-3	-96.897201380E-6	9.208437067E-3	143.321075836E-6	10.849033139E-6	8.526481786E-6	1.195670491E+3	-96.897201374E+0	9.208437066E+3	143.321075827E+0	10.849033139E+0	8.526481785E+0	100.001000000E+0
